route_id,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
110-275-0,,,,,,1.0,1.6333333333333333,1.9666666666666666,1.9666666666666666,1.9666666666666666,1.9666666666666666,1.9666666666666666,1.9666666666666666,1.9666666666666666,1.9666666666666666,1.9666666666666666,1.9666666666666666,1.9666666666666666,1.95,1.0,1.0,1.0,1.0,1.0
110-275-1,1.0,,,,,,,1.4,1.9333333333333333,1.9333333333333333,1.9333333333333333,1.9333333333333333,1.9333333333333333,1.9333333333333333,1.9333333333333333,1.9333333333333333,1.9333333333333333,1.9333333333333333,1.9333333333333333,1.5,1.0,1.0,1.0,1.0
110N-275-0,0.19999999999999998,0.1999999999999999,0.1999999999999999,0.1999999999999999,0.20000000000000004,,,,,,,,,,,,,,,,,,,
110N-275-1,0.20000000000000004,0.1999999999999999,0.1999999999999999,0.1999999999999999,0.1999999999999999,0.2000000000000001,,,,,,,,,,,,,,,,,,
111-275-0,,,,,,,1.4736842105263157,2.066666666666667,2.066666666666667,2.066666666666667,2.066666666666667,2.066666666666667,2.066666666666667,2.066666666666667,2.066666666666667,2.066666666666667,2.066666666666667,2.066666666666667,1.0892857142857142,1.0,1.0,1.0,1.0,1.0
111-275-1,1.0,,,,,,,1.1428571428571428,2.033333333333333,2.033333333333333,2.033333333333333,2.033333333333333,2.033333333333333,2.033333333333333,2.033333333333333,2.033333333333333,2.033333333333333,2.033333333333333,2.033333333333333,1.6166666666666667,1.0,1.0,1.0,1.0
112-275-1,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
113-275-0,,,,,,,1.16,1.0,1.0,,,,,,,,,,,,,,,
113-275-1,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,
120-275-0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
120-275-1,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
120N-275-1,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
121-275-0,,,,,,,1.0,1.0666666666666667,1.0666666666666667,1.0416666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
121-275-1,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0666666666666667,1.0,1.0,1.0,1.0,1.0,
122-275-0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
