stop_id,direction_id,min_start_time,max_end_time,mean_daily_num_vehicles,max_headway,mean_headway
750060,1,08:12:00,22:12:00,18.0,3600.0,2862.0
750061,0,06:20:00,07:40:00,3.0,,
750061,1,08:13:00,22:13:00,18.0,3600.0,2866.0
750062,0,06:20:00,07:40:00,3.0,,
750062,1,08:13:00,22:13:00,18.0,3600.0,2871.0
750063,0,06:21:00,07:41:00,3.0,,
750063,1,08:14:00,22:14:00,18.0,3600.0,2871.0
750064,0,06:22:00,07:42:00,3.0,,
750064,1,08:15:00,22:15:00,18.0,3600.0,2871.0
750065,0,05:47:00,21:47:00,17.0,3600.0,3600.0
750065,1,07:34:00,21:34:00,15.0,3600.0,3600.0
750066,0,05:48:00,21:48:00,17.0,3600.0,3600.0
750066,1,07:35:00,21:35:00,15.0,3600.0,3600.0
750067,0,05:50:00,21:50:00,17.0,3600.0,3600.0
750067,1,07:37:00,21:37:00,15.0,3600.0,3600.0
750068,0,05:52:00,21:52:00,17.0,3600.0,3600.0
750068,1,07:39:00,21:39:00,15.0,3600.0,3600.0
750069,0,05:53:00,21:53:00,17.0,3600.0,3600.0
750069,1,07:40:00,21:40:00,15.0,3600.0,3600.0
750070,0,06:00:00,22:00:00,17.0,3600.0,3600.0
750070,1,07:26:00,21:26:00,15.0,3600.0,3600.0
750071,0,06:01:00,22:01:00,17.0,3600.0,3600.0
750071,1,07:27:00,21:27:00,15.0,3600.0,3600.0
750072,0,06:02:00,22:02:00,17.0,3600.0,3600.0
750072,1,07:27:00,21:27:00,15.0,3600.0,3600.0
750073,0,07:25:00,21:25:00,16.0,3600.0,3300.0
750073,1,07:30:00,24:04:00,71.0,900.0,720.0
750075,0,08:33:00,19:33:00,12.0,3600.0,3600.0
750075,1,07:27:00,19:27:00,13.0,3600.0,3600.0
750076,0,06:33:00,19:34:00,14.0,3660.0,3605.0
750076,1,06:26:00,19:56:00,17.0,3600.0,3185.0
750077,0,07:16:00,21:16:00,16.0,3600.0,3300.0
750077,1,06:31:00,20:01:00,17.0,3600.0,3046.0
750078,0,07:18:00,21:18:00,16.0,3600.0,3300.0
750078,1,06:33:00,20:03:00,17.0,3600.0,3046.0
750079,0,06:39:00,19:40:00,14.0,3660.0,3605.0
750079,1,06:36:00,20:06:00,17.0,3600.0,3046.0
750080,0,,,0.0,,
750080,1,06:42:00,22:00:00,34.0,2880.0,1600.0
750081,0,,,0.0,,
750081,1,06:43:00,22:01:00,34.0,2880.0,1551.0
750082,0,06:46:00,21:04:00,33.0,2880.0,1551.0
750082,1,,,0.0,,
750083,0,06:46:00,21:04:00,33.0,2880.0,1551.0
750083,1,,,0.0,,
750084,0,06:47:00,21:05:00,33.0,2880.0,1551.0
750084,1,,,0.0,,
750085,0,06:14:00,22:16:00,51.0,1440.0,1099.0
750085,1,,,0.0,,
750086,0,06:51:00,21:09:00,33.0,2880.0,1551.0
750086,1,,,0.0,,
750087,0,06:16:00,22:17:00,35.0,2160.0,1642.0
750087,1,,,0.0,,
750088,0,06:54:00,20:24:00,17.0,3600.0,3046.0
750088,1,,,0.0,,
750089,0,06:55:00,20:25:00,17.0,3600.0,3046.0
750089,1,,,0.0,,
750090,0,06:55:00,20:25:00,17.0,3600.0,3046.0
750090,1,,,0.0,,
750091,0,06:56:00,20:26:00,17.0,3600.0,3046.0
750091,1,,,0.0,,
750092,0,06:56:00,20:26:00,17.0,3600.0,3046.0
750092,1,,,0.0,,
750093,0,06:57:00,20:27:00,17.0,3600.0,3046.0
750093,1,,,0.0,,
750094,0,06:57:00,20:27:00,17.0,3600.0,3046.0
750094,1,,,0.0,,
750095,0,06:58:00,20:28:00,17.0,3600.0,3046.0
750095,1,,,0.0,,
750096,0,06:59:00,20:29:00,17.0,3600.0,3046.0
750096,1,,,0.0,,
750098,0,07:00:00,20:30:00,17.0,3600.0,2957.0
750098,1,,,0.0,,
750099,0,07:00:00,20:30:00,17.0,3600.0,2957.0
750099,1,,,0.0,,
750100,0,07:01:00,20:31:00,17.0,3600.0,2957.0
750100,1,,,0.0,,
750101,0,07:02:00,20:32:00,17.0,3600.0,2957.0
750101,1,06:45:00,21:45:00,17.0,3600.0,3300.0
750102,0,07:03:00,20:33:00,17.0,3600.0,2957.0
750102,1,,,0.0,,
750103,0,06:12:00,23:23:00,96.0,960.0,559.0
750103,1,,,0.0,,
750104,0,06:12:00,23:23:00,96.0,960.0,559.0
750104,1,,,0.0,,
750105,0,06:13:00,23:24:00,128.0,960.0,425.0
750105,1,,,0.0,,
750106,0,06:13:00,23:24:00,128.0,960.0,425.0
750106,1,,,0.0,,
750107,0,06:14:00,23:25:00,128.0,960.0,425.0
750107,1,,,0.0,,
750108,0,06:15:00,23:26:00,128.0,960.0,425.0
750108,1,,,0.0,,
750109,0,06:16:00,23:27:00,128.0,960.0,425.0
750109,1,,,0.0,,
750110,0,06:16:00,23:27:00,128.0,960.0,425.0
750110,1,,,0.0,,
750111,0,06:40:00,22:58:00,33.0,1800.0,1634.0
750111,1,,,0.0,,
750112,0,06:18:00,23:29:00,158.0,900.0,343.0
750112,1,,,0.0,,
750113,0,06:30:00,22:00:00,32.0,1800.0,1800.0
750113,1,,,0.0,,
750114,0,,,0.0,,
750114,1,06:38:00,23:08:00,34.0,1800.0,1800.0
750115,0,06:19:00,23:29:00,126.0,900.0,424.0
750115,1,,,0.0,,
750118,0,06:21:00,23:32:00,158.0,900.0,344.0
750118,1,,,0.0,,
750119,0,06:22:00,23:33:00,158.0,900.0,343.0
750119,1,,,0.0,,
750120,0,06:23:00,23:33:00,158.0,900.0,343.0
750120,1,,,0.0,,
750123,0,,,0.0,,
750123,1,06:25:00,28:15:00,109.0,1800.0,452.0
750125,0,,,0.0,,
750125,1,06:30:00,23:38:00,34.0,3120.0,1670.0
750126,0,,,0.0,,
750126,1,06:32:00,23:40:00,64.0,1440.0,889.0
750127,0,06:25:00,28:42:00,289.8,900.0,183.0
